@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute global_motion numeric
@attribute motion_L numeric
@attribute motion_R numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
891,'2017/09/14 22:03:14:736',21,0.048437,0.003125,0.09375,?,?,?,?,?
892,'2017/09/14 22:03:14:754',21,0.048437,0.003125,0.09375,?,?,?,?,?
893,'2017/09/14 22:03:14:769',21,0.048437,0.003125,0.09375,?,?,?,?,?
894,'2017/09/14 22:03:14:803',21,0.009375,0.00625,0.0125,?,?,?,?,?
895,'2017/09/14 22:03:14:819',21,0.009375,0.00625,0.0125,?,?,?,?,?
896,'2017/09/14 22:03:14:835',21,0.009375,0.00625,0.0125,?,?,?,?,?
897,'2017/09/14 22:03:14:852',21,0.009375,0.00625,0.0125,?,?,?,?,?
898,'2017/09/14 22:03:14:886',21,0.046875,0.009375,0.084375,?,?,?,?,?
899,'2017/09/14 22:03:14:902',21,0.046875,0.009375,0.084375,?,?,?,?,?
900,'2017/09/14 22:03:14:920',21,0.046875,0.009375,0.084375,?,?,?,?,?
901,'2017/09/14 22:03:14:936',21,0.046875,0.009375,0.084375,?,?,?,?,?
902,'2017/09/14 22:03:14:969',21,0.042188,0.0125,0.071875,?,?,?,?,?
903,'2017/09/14 22:03:14:985',21,0.042188,0.0125,0.071875,?,?,?,?,?
904,'2017/09/14 22:03:15:003',21,0.042188,0.0125,0.071875,?,?,?,?,?
905,'2017/09/14 22:03:49:972',22,0.057813,0.10625,0.009375,?,?,?,?,?
906,'2017/09/14 22:03:49:972',22,0.057813,0.10625,0.009375,?,?,?,?,?
907,'2017/09/14 22:03:49:986',22,0.057813,0.10625,0.009375,?,?,?,?,?
908,'2017/09/14 22:03:50:022',22,0.057813,0.10625,0.009375,?,?,?,?,?
909,'2017/09/14 22:03:50:072',22,0.046875,0.0875,0.00625,?,?,?,?,?
910,'2017/09/14 22:03:50:072',22,0.046875,0.0875,0.00625,?,?,?,?,?
911,'2017/09/14 22:03:50:087',22,0.046875,0.0875,0.00625,?,?,?,?,?
912,'2017/09/14 22:03:50:122',22,0.046875,0.0875,0.00625,?,?,?,?,?
913,'2017/09/14 22:03:50:122',22,0.0375,0.075,0,?,?,?,?,?
914,'2017/09/14 22:03:50:138',22,0.0375,0.075,0,?,?,?,?,?
915,'2017/09/14 22:03:50:172',22,0.0375,0.075,0,?,?,?,?,?
916,'2017/09/14 22:03:50:173',22,0.0375,0.075,0,?,?,?,?,?
917,'2017/09/14 22:03:50:223',22,0.048437,0.090625,0.00625,?,?,?,?,?
918,'2017/09/14 22:03:50:223',22,0.048437,0.090625,0.00625,?,?,?,?,?
919,'2017/09/14 22:03:50:236',22,0.048437,0.090625,0.00625,?,?,?,?,?
920,'2017/09/14 22:03:50:272',22,0.048437,0.090625,0.00625,?,?,?,?,?
921,'2017/09/14 22:03:50:286',22,0.026563,0.046875,0.00625,?,?,?,?,?
922,'2017/09/14 22:03:50:322',22,0.026563,0.046875,0.00625,?,?,?,?,?
923,'2017/09/14 22:03:50:323',22,0.026563,0.046875,0.00625,?,?,?,?,?
924,'2017/09/14 22:03:50:335',22,0.026563,0.046875,0.00625,?,?,?,?,?
925,'2017/09/14 22:03:50:373',22,0.032812,0.0625,0.003125,?,?,?,?,?
926,'2017/09/14 22:03:50:387',22,0.032812,0.0625,0.003125,?,?,?,?,?
927,'2017/09/14 22:03:50:422',22,0.032812,0.0625,0.003125,?,?,?,?,?
928,'2017/09/14 22:03:50:422',22,0.032812,0.0625,0.003125,?,?,?,?,?
929,'2017/09/14 22:03:50:472',22,0.057813,0.10625,0.009375,?,?,?,?,?
930,'2017/09/14 22:03:50:472',22,0.057813,0.10625,0.009375,?,?,?,?,?
931,'2017/09/14 22:03:50:486',22,0.057813,0.10625,0.009375,?,?,?,?,?
932,'2017/09/14 22:03:50:522',22,0.057813,0.10625,0.009375,?,?,?,?,?
933,'2017/09/14 22:03:50:536',22,0.017188,0.03125,0.003125,?,?,?,?,?
934,'2017/09/14 22:03:50:572',22,0.017188,0.03125,0.003125,?,?,?,?,?
935,'2017/09/14 22:03:50:573',22,0.017188,0.03125,0.003125,?,?,?,?,?
936,'2017/09/14 22:03:50:587',22,0.017188,0.03125,0.003125,?,?,?,?,?
937,'2017/09/14 22:03:50:622',22,0.05625,0.103125,0.009375,?,?,?,?,?
938,'2017/09/14 22:03:50:637',22,0.05625,0.103125,0.009375,?,?,?,?,?
939,'2017/09/14 22:03:50:672',22,0.05625,0.103125,0.009375,?,?,?,?,?
940,'2017/09/14 22:03:50:673',22,0.05625,0.103125,0.009375,?,?,?,?,?
941,'2017/09/14 22:03:50:722',22,0.051562,0.1,0.003125,?,?,?,?,?
942,'2017/09/14 22:03:50:722',22,0.051562,0.1,0.003125,?,?,?,?,?
943,'2017/09/14 22:03:50:735',22,0.051562,0.1,0.003125,?,?,?,?,?
944,'2017/09/14 22:04:06:387',23,0.042188,0,0.084375,?,?,?,?,?
945,'2017/09/14 22:04:06:422',23,0.042188,0,0.084375,?,?,?,?,?
946,'2017/09/14 22:04:06:438',23,0.060938,0,0.121875,?,?,?,?,?
947,'2017/09/14 22:04:06:472',23,0.060938,0,0.121875,?,?,?,?,?
948,'2017/09/14 22:04:06:472',23,0.060938,0,0.121875,?,?,?,?,?
949,'2017/09/14 22:04:06:488',23,0.060938,0,0.121875,?,?,?,?,?
950,'2017/09/14 22:04:06:522',23,0.017188,0,0.034375,?,?,?,?,?
951,'2017/09/14 22:04:06:537',23,0.017188,0,0.034375,?,?,?,?,?
952,'2017/09/14 22:04:06:572',23,0.017188,0,0.034375,?,?,?,?,?
953,'2017/09/14 22:04:06:572',23,0.017188,0,0.034375,?,?,?,?,?
954,'2017/09/14 22:04:06:622',23,0.034375,0,0.06875,?,?,?,?,?
955,'2017/09/14 22:04:06:638',23,0.034375,0,0.06875,?,?,?,?,?
956,'2017/09/14 22:04:06:672',23,0.034375,0,0.06875,?,?,?,?,?
957,'2017/09/14 22:04:06:672',23,0.034375,0,0.06875,?,?,?,?,?
958,'2017/09/14 22:04:06:722',23,0.01875,0,0.0375,?,?,?,?,?
959,'2017/09/14 22:04:06:722',23,0.01875,0,0.0375,?,?,?,?,?
960,'2017/09/14 22:04:06:737',23,0.01875,0,0.0375,?,?,?,?,?
961,'2017/09/14 22:04:06:772',23,0.01875,0,0.0375,?,?,?,?,?
962,'2017/09/14 22:04:06:786',23,0.03125,0,0.0625,?,?,?,?,?
963,'2017/09/14 22:04:06:822',23,0.03125,0,0.0625,?,?,?,?,?
964,'2017/09/14 22:04:06:822',23,0.03125,0,0.0625,?,?,?,?,?
965,'2017/09/14 22:04:06:837',23,0.03125,0,0.0625,?,?,?,?,?
966,'2017/09/14 22:04:06:872',23,0.029687,0.003125,0.05625,?,?,?,?,?
967,'2017/09/14 22:04:06:886',23,0.029687,0.003125,0.05625,?,?,?,?,?
968,'2017/09/14 22:04:06:922',23,0.029687,0.003125,0.05625,?,?,?,?,?
969,'2017/09/14 22:04:06:922',23,0.029687,0.003125,0.05625,?,?,?,?,?
970,'2017/09/14 22:04:06:972',23,0.0375,0,0.075,?,?,?,?,?
971,'2017/09/14 22:04:06:972',23,0.0375,0,0.075,?,?,?,?,?
972,'2017/09/14 22:04:06:986',23,0.0375,0,0.075,?,?,?,?,?
973,'2017/09/14 22:04:07:022',23,0.0375,0,0.075,?,?,?,?,?
974,'2017/09/14 22:04:07:022',23,0.017188,0,0.034375,?,?,?,?,?
975,'2017/09/14 22:04:07:037',23,0.017188,0,0.034375,?,?,?,?,?
976,'2017/09/14 22:04:07:072',23,0.017188,0,0.034375,?,?,?,?,?
977,'2017/09/14 22:04:07:072',23,0.017188,0,0.034375,?,?,?,?,?
978,'2017/09/14 22:04:07:138',23,0.042188,0.003125,0.08125,?,?,?,?,?
979,'2017/09/14 22:04:07:172',23,0.042188,0.003125,0.08125,?,?,?,?,?
980,'2017/09/14 22:04:07:172',23,0.042188,0.003125,0.08125,?,?,?,?,?
981,'2017/09/14 22:04:07:186',23,0.042188,0.003125,0.08125,?,?,?,?,?
982,'2017/09/14 22:08:49:335',24,0.001563,0,0.003125,?,?,?,?,?
983,'2017/09/14 22:08:49:354',24,0.001563,0,0.003125,?,?,?,?,?
984,'2017/09/14 22:08:49:368',24,0.001563,0,0.003125,?,?,?,?,?
985,'2017/09/14 22:08:49:386',24,0.001563,0,0.003125,?,?,?,?,?
986,'2017/09/14 22:09:00:371',25,0.046875,0.034375,0.059375,?,?,?,?,?
987,'2017/09/14 22:09:00:413',25,0.046875,0.034375,0.059375,?,?,?,?,?
988,'2017/09/14 22:09:00:422',25,0.170312,0.165625,0.175,?,?,?,?,?
989,'2017/09/14 22:09:00:463',25,0.170312,0.165625,0.175,?,?,?,?,?
990,'2017/09/14 22:09:00:463',25,0.170312,0.165625,0.175,?,?,?,?,?
991,'2017/09/14 22:09:00:473',25,0.170312,0.165625,0.175,?,?,?,?,?
992,'2017/09/14 22:09:00:513',25,0.1125,0.09375,0.13125,?,?,?,?,?
993,'2017/09/14 22:09:00:520',25,0.1125,0.09375,0.13125,?,?,?,?,?
994,'2017/09/14 22:09:00:563',25,0.1125,0.09375,0.13125,?,?,?,?,?
995,'2017/09/14 22:09:00:563',25,0.1125,0.09375,0.13125,?,?,?,?,?
996,'2017/09/14 22:09:00:613',25,0.095312,0.034375,0.15625,?,?,?,?,?
997,'2017/09/14 22:09:00:613',25,0.095312,0.034375,0.15625,?,?,?,?,?
998,'2017/09/14 22:09:00:622',25,0.095312,0.034375,0.15625,?,?,?,?,?
999,'2017/09/14 22:09:00:663',25,0.095312,0.034375,0.15625,?,?,?,?,?
1000,'2017/09/14 22:09:00:671',25,0.021875,0.0125,0.03125,?,?,?,?,?
1001,'2017/09/14 22:09:00:713',25,0.021875,0.0125,0.03125,?,?,?,?,?
1002,'2017/09/14 22:09:00:713',25,0.021875,0.0125,0.03125,?,?,?,?,?
1003,'2017/09/14 22:09:00:721',25,0.021875,0.0125,0.03125,?,?,?,?,?
1004,'2017/09/14 22:09:00:763',25,0.09375,0.04375,0.14375,?,?,?,?,?
1005,'2017/09/14 22:09:00:773',25,0.09375,0.04375,0.14375,?,?,?,?,?
1006,'2017/09/14 22:09:00:813',25,0.09375,0.04375,0.14375,?,?,?,?,?
1007,'2017/09/14 22:09:00:813',25,0.09375,0.04375,0.14375,?,?,?,?,?
1008,'2017/09/14 22:09:00:863',25,0.05625,0.021875,0.090625,?,?,?,?,?
1009,'2017/09/14 22:09:00:863',25,0.05625,0.021875,0.090625,?,?,?,?,?
1010,'2017/09/14 22:09:00:871',25,0.05625,0.021875,0.090625,?,?,?,?,?
1011,'2017/09/14 22:09:00:913',25,0.05625,0.021875,0.090625,?,?,?,?,?
1012,'2017/09/14 22:09:00:923',25,0.084375,0.053125,0.115625,?,?,?,?,?
1013,'2017/09/14 22:09:00:963',25,0.084375,0.053125,0.115625,?,?,?,?,?
1014,'2017/09/14 22:09:00:963',25,0.084375,0.053125,0.115625,?,?,?,?,?
1015,'2017/09/14 22:09:00:972',25,0.084375,0.053125,0.115625,?,?,?,?,?
1016,'2017/09/14 22:09:01:013',25,0.053125,0.078125,0.028125,?,?,?,?,?
1017,'2017/09/14 22:09:01:020',25,0.053125,0.078125,0.028125,?,?,?,?,?
1018,'2017/09/14 22:09:01:063',25,0.053125,0.078125,0.028125,?,?,?,?,?
1019,'2017/09/14 22:09:01:063',25,0.053125,0.078125,0.028125,?,?,?,?,?
1020,'2017/09/14 22:09:01:113',25,0.073437,0.14375,0.003125,?,?,?,?,?
1021,'2017/09/14 22:09:01:113',25,0.073437,0.14375,0.003125,?,?,?,?,?
1022,'2017/09/14 22:09:01:123',25,0.073437,0.14375,0.003125,?,?,?,?,?
1023,'2017/09/14 22:09:01:163',25,0.073437,0.14375,0.003125,?,?,?,?,?
1024,'2017/09/14 22:09:01:172',25,0.08125,0.11875,0.04375,?,?,?,?,?
1025,'2017/09/14 22:09:01:213',25,0.08125,0.11875,0.04375,?,?,?,?,?
1026,'2017/09/14 22:09:01:213',25,0.08125,0.11875,0.04375,?,?,?,?,?
1027,'2017/09/14 22:09:01:222',25,0.08125,0.11875,0.04375,?,?,?,?,?
1028,'2017/09/14 22:09:01:263',25,0.120312,0.140625,0.1,?,?,?,?,?
1029,'2017/09/14 22:09:01:271',25,0.120312,0.140625,0.1,?,?,?,?,?
1030,'2017/09/14 22:09:01:313',25,0.120312,0.140625,0.1,?,?,?,?,?
1031,'2017/09/14 22:09:01:313',25,0.120312,0.140625,0.1,?,?,?,?,?
1032,'2017/09/14 22:09:01:363',25,0.110937,0.103125,0.11875,?,?,?,?,?
1033,'2017/09/14 22:09:01:363',25,0.110937,0.103125,0.11875,?,?,?,?,?
1034,'2017/09/14 22:09:01:372',25,0.110937,0.103125,0.11875,?,?,?,?,?
1035,'2017/09/14 22:09:01:413',25,0.110937,0.103125,0.11875,?,?,?,?,?
1036,'2017/09/14 22:09:01:420',25,0.007813,0.00625,0.009375,?,?,?,?,?
1037,'2017/09/14 22:09:01:463',25,0.007813,0.00625,0.009375,?,?,?,?,?
1038,'2017/09/14 22:09:01:463',25,0.007813,0.00625,0.009375,?,?,?,?,?
1039,'2017/09/14 22:09:01:470',25,0.007813,0.00625,0.009375,?,?,?,?,?
1040,'2017/09/14 22:09:01:513',25,0.007813,0.009375,0.00625,?,?,?,?,?
1041,'2017/09/14 22:09:01:522',25,0.007813,0.009375,0.00625,?,?,?,?,?
1042,'2017/09/14 22:09:08:912',26,0.0125,0.025,0,?,?,?,?,?
1043,'2017/09/14 22:09:08:923',26,0.04375,0.0875,0,?,?,?,?,?
1044,'2017/09/14 22:09:08:962',26,0.04375,0.0875,0,?,?,?,?,?
1045,'2017/09/14 22:09:08:962',26,0.04375,0.0875,0,?,?,?,?,?
1046,'2017/09/14 22:09:08:970',26,0.04375,0.0875,0,?,?,?,?,?
1047,'2017/09/14 22:09:09:012',26,0.0375,0.06875,0.00625,?,?,?,?,?
1048,'2017/09/14 22:09:09:013',26,0.0375,0.06875,0.00625,?,?,?,?,?
1049,'2017/09/14 22:09:09:020',26,0.0375,0.06875,0.00625,?,?,?,?,?
1050,'2017/09/14 22:09:09:062',26,0.0375,0.06875,0.00625,?,?,?,?,?
1051,'2017/09/14 22:09:09:112',26,0.039063,0.071875,0.00625,?,?,?,?,?
1052,'2017/09/14 22:09:09:113',26,0.039063,0.071875,0.00625,?,?,?,?,?
1053,'2017/09/14 22:09:09:121',26,0.039063,0.071875,0.00625,?,?,?,?,?
1054,'2017/09/14 22:09:09:162',26,0.039063,0.071875,0.00625,?,?,?,?,?
1055,'2017/09/14 22:09:09:173',26,0.021875,0.040625,0.003125,?,?,?,?,?
1056,'2017/09/14 22:09:09:212',26,0.021875,0.040625,0.003125,?,?,?,?,?
1057,'2017/09/14 22:09:09:212',26,0.021875,0.040625,0.003125,?,?,?,?,?
1058,'2017/09/14 22:09:09:221',26,0.021875,0.040625,0.003125,?,?,?,?,?
1059,'2017/09/14 22:09:09:262',26,0.040625,0.078125,0.003125,?,?,?,?,?
1060,'2017/09/14 22:09:09:271',26,0.040625,0.078125,0.003125,?,?,?,?,?
1061,'2017/09/14 22:09:09:312',26,0.040625,0.078125,0.003125,?,?,?,?,?
1062,'2017/09/14 22:09:09:312',26,0.040625,0.078125,0.003125,?,?,?,?,?
1063,'2017/09/14 22:09:09:321',26,0.045313,0.090625,0,?,?,?,?,?
1064,'2017/09/14 22:09:09:362',26,0.045313,0.090625,0,?,?,?,?,?
1065,'2017/09/14 22:09:09:362',26,0.045313,0.090625,0,?,?,?,?,?
1066,'2017/09/14 22:09:09:373',26,0.045313,0.090625,0,?,?,?,?,?
1067,'2017/09/14 22:09:09:422',26,0.0375,0.075,0,?,?,?,?,?
1068,'2017/09/14 22:09:09:462',26,0.0375,0.075,0,?,?,?,?,?
1069,'2017/09/14 22:09:09:462',26,0.0375,0.075,0,?,?,?,?,?
1070,'2017/09/14 22:09:09:471',26,0.0375,0.075,0,?,?,?,?,?
1071,'2017/09/14 22:09:09:512',26,0.0125,0.025,0,?,?,?,?,?
1072,'2017/09/14 22:09:09:521',26,0.0125,0.025,0,?,?,?,?,?
1073,'2017/09/14 22:09:09:562',26,0.0125,0.025,0,?,?,?,?,?
1074,'2017/09/14 22:09:09:562',26,0.0125,0.025,0,?,?,?,?,?
1075,'2017/09/14 22:09:09:572',26,0.054688,0.10625,0.003125,?,?,?,?,?
1076,'2017/09/14 22:09:09:612',26,0.054688,0.10625,0.003125,?,?,?,?,?
1077,'2017/09/14 22:09:09:612',26,0.054688,0.10625,0.003125,?,?,?,?,?
1078,'2017/09/14 22:09:09:622',26,0.054688,0.10625,0.003125,?,?,?,?,?
1079,'2017/09/14 22:09:09:672',26,0.053125,0.10625,0,?,?,?,?,?
1080,'2017/09/14 22:09:09:712',26,0.053125,0.10625,0,?,?,?,?,?
1081,'2017/09/14 22:09:09:712',26,0.053125,0.10625,0,?,?,?,?,?
1082,'2017/09/14 22:09:09:721',26,0.053125,0.10625,0,?,?,?,?,?
1083,'2017/09/14 22:09:09:762',26,0.026563,0.053125,0,?,?,?,?,?
1084,'2017/09/14 22:09:09:771',26,0.026563,0.053125,0,?,?,?,?,?
1085,'2017/09/14 22:09:17:962',27,0.015625,0.00625,0.025,?,?,?,?,?
1086,'2017/09/14 22:09:17:962',27,0.015625,0.00625,0.025,?,?,?,?,?
1087,'2017/09/14 22:09:17:976',27,0.015625,0.00625,0.025,?,?,?,?,?
1088,'2017/09/14 22:09:18:012',27,0.045313,0.009375,0.08125,?,?,?,?,?
1089,'2017/09/14 22:09:18:020',27,0.045313,0.009375,0.08125,?,?,?,?,?
1090,'2017/09/14 22:09:18:062',27,0.045313,0.009375,0.08125,?,?,?,?,?
1091,'2017/09/14 22:09:18:062',27,0.045313,0.009375,0.08125,?,?,?,?,?
1092,'2017/09/14 22:09:18:071',27,0.060938,0.009375,0.1125,?,?,?,?,?
1093,'2017/09/14 22:09:18:112',27,0.060938,0.009375,0.1125,?,?,?,?,?
1094,'2017/09/14 22:09:18:112',27,0.060938,0.009375,0.1125,?,?,?,?,?
1095,'2017/09/14 22:09:18:120',27,0.060938,0.009375,0.1125,?,?,?,?,?
1096,'2017/09/14 22:09:18:162',27,0.017188,0.009375,0.025,?,?,?,?,?
1097,'2017/09/14 22:09:18:170',27,0.017188,0.009375,0.025,?,?,?,?,?
1098,'2017/09/14 22:09:18:212',27,0.017188,0.009375,0.025,?,?,?,?,?
1099,'2017/09/14 22:09:18:212',27,0.017188,0.009375,0.025,?,?,?,?,?
1100,'2017/09/14 22:09:18:262',27,0.034375,0.021875,0.046875,?,?,?,?,?
1101,'2017/09/14 22:09:18:262',27,0.034375,0.021875,0.046875,?,?,?,?,?
1102,'2017/09/14 22:09:18:271',27,0.034375,0.021875,0.046875,?,?,?,?,?
1103,'2017/09/14 22:09:18:312',27,0.034375,0.021875,0.046875,?,?,?,?,?
1104,'2017/09/14 22:09:18:362',27,0.046875,0.0125,0.08125,?,?,?,?,?
1105,'2017/09/14 22:09:18:362',27,0.046875,0.0125,0.08125,?,?,?,?,?
1106,'2017/09/14 22:09:18:371',27,0.046875,0.0125,0.08125,?,?,?,?,?
1107,'2017/09/14 22:09:18:412',27,0.046875,0.0125,0.08125,?,?,?,?,?
1108,'2017/09/14 22:09:18:412',27,0.032812,0,0.065625,?,?,?,?,?
1109,'2017/09/14 22:09:18:422',27,0.032812,0,0.065625,?,?,?,?,?
1110,'2017/09/14 22:09:18:462',27,0.032812,0,0.065625,?,?,?,?,?
1111,'2017/09/14 22:09:18:462',27,0.032812,0,0.065625,?,?,?,?,?
1112,'2017/09/14 22:09:18:512',27,0.034375,0.00625,0.0625,?,?,?,?,?
1113,'2017/09/14 22:09:18:512',27,0.034375,0.00625,0.0625,?,?,?,?,?
1114,'2017/09/14 22:09:18:522',27,0.034375,0.00625,0.0625,?,?,?,?,?
1115,'2017/09/14 22:09:18:562',27,0.034375,0.00625,0.0625,?,?,?,?,?
1116,'2017/09/14 22:09:18:612',27,0.014062,0.003125,0.025,?,?,?,?,?
1117,'2017/09/14 22:09:18:612',27,0.014062,0.003125,0.025,?,?,?,?,?
1118,'2017/09/14 22:09:18:620',27,0.014062,0.003125,0.025,?,?,?,?,?
1119,'2017/09/14 22:10:05:822',28,0.070313,0.0375,0.103125,?,?,?,?,?
1120,'2017/09/14 22:10:05:861',28,0.070313,0.0375,0.103125,?,?,?,?,?
1121,'2017/09/14 22:10:05:861',28,0.070313,0.0375,0.103125,?,?,?,?,?
1122,'2017/09/14 22:10:05:911',28,0.0875,0.09375,0.08125,?,?,?,?,?
1123,'2017/09/14 22:10:05:921',28,0.0875,0.09375,0.08125,?,?,?,?,?
1124,'2017/09/14 22:10:05:961',28,0.0875,0.09375,0.08125,?,?,?,?,?
1125,'2017/09/14 22:10:05:961',28,0.0875,0.09375,0.08125,?,?,?,?,?
1126,'2017/09/14 22:10:06:011',28,0.078125,0.084375,0.071875,?,?,?,?,?
1127,'2017/09/14 22:10:06:011',28,0.078125,0.084375,0.071875,?,?,?,?,?
1128,'2017/09/14 22:10:06:021',28,0.078125,0.084375,0.071875,?,?,?,?,?
1129,'2017/09/14 22:10:06:061',28,0.078125,0.084375,0.071875,?,?,?,?,?
1130,'2017/09/14 22:10:06:061',28,0.084375,0.153125,0.015625,?,?,?,?,?
1131,'2017/09/14 22:10:06:072',28,0.084375,0.153125,0.015625,?,?,?,?,?
1132,'2017/09/14 22:10:06:111',28,0.084375,0.153125,0.015625,?,?,?,?,?
1133,'2017/09/14 22:10:06:111',28,0.084375,0.153125,0.015625,?,?,?,?,?
1134,'2017/09/14 22:10:06:161',28,0.125,0.065625,0.184375,?,?,?,?,?
1135,'2017/09/14 22:10:06:161',28,0.125,0.065625,0.184375,?,?,?,?,?
1136,'2017/09/14 22:10:06:170',28,0.125,0.065625,0.184375,?,?,?,?,?
1137,'2017/09/14 22:10:06:210',28,0.125,0.065625,0.184375,?,?,?,?,?
1138,'2017/09/14 22:10:06:221',28,0.128125,0.06875,0.1875,?,?,?,?,?
1139,'2017/09/14 22:10:06:261',28,0.128125,0.06875,0.1875,?,?,?,?,?
1140,'2017/09/14 22:10:06:261',28,0.128125,0.06875,0.1875,?,?,?,?,?
1141,'2017/09/14 22:10:06:272',28,0.128125,0.06875,0.1875,?,?,?,?,?
1142,'2017/09/14 22:10:06:311',28,0.064062,0.075,0.053125,?,?,?,?,?
1143,'2017/09/14 22:10:06:322',28,0.064062,0.075,0.053125,?,?,?,?,?
1144,'2017/09/14 22:10:06:361',28,0.064062,0.075,0.053125,?,?,?,?,?
1145,'2017/09/14 22:10:06:361',28,0.064062,0.075,0.053125,?,?,?,?,?
1146,'2017/09/14 22:10:06:411',28,0.0625,0.05625,0.06875,?,?,?,?,?
1147,'2017/09/14 22:10:06:411',28,0.0625,0.05625,0.06875,?,?,?,?,?
1148,'2017/09/14 22:10:06:420',28,0.0625,0.05625,0.06875,?,?,?,?,?
1149,'2017/09/14 22:10:06:461',28,0.0625,0.05625,0.06875,?,?,?,?,?
1150,'2017/09/14 22:10:06:471',28,0.109375,0.159375,0.059375,?,?,?,?,?
1151,'2017/09/14 22:10:06:511',28,0.109375,0.159375,0.059375,?,?,?,?,?
1152,'2017/09/14 22:10:06:511',28,0.109375,0.159375,0.059375,?,?,?,?,?
1153,'2017/09/14 22:10:06:522',28,0.109375,0.159375,0.059375,?,?,?,?,?
1154,'2017/09/14 22:10:06:561',28,0.2,0.228125,0.171875,?,?,?,?,?
1155,'2017/09/14 22:10:06:572',28,0.2,0.228125,0.171875,?,?,?,?,?
1156,'2017/09/14 22:10:06:611',28,0.2,0.228125,0.171875,?,?,?,?,?
1157,'2017/09/14 22:10:06:611',28,0.2,0.228125,0.171875,?,?,?,?,?
1158,'2017/09/14 22:10:22:211',29,0.0375,0.075,0,?,?,?,?,?
1159,'2017/09/14 22:10:22:221',29,0.01875,0.0375,0,?,?,?,?,?
1160,'2017/09/14 22:10:22:260',29,0.01875,0.0375,0,?,?,?,?,?
1161,'2017/09/14 22:10:22:260',29,0.01875,0.0375,0,?,?,?,?,?
1162,'2017/09/14 22:10:22:271',29,0.01875,0.0375,0,?,?,?,?,?
1163,'2017/09/14 22:10:22:310',29,0.034375,0.065625,0.003125,?,?,?,?,?
1164,'2017/09/14 22:10:22:321',29,0.034375,0.065625,0.003125,?,?,?,?,?
1165,'2017/09/14 22:10:22:360',29,0.034375,0.065625,0.003125,?,?,?,?,?
1166,'2017/09/14 22:10:22:360',29,0.034375,0.065625,0.003125,?,?,?,?,?
1167,'2017/09/14 22:10:22:410',29,0.053125,0.10625,0,?,?,?,?,?
1168,'2017/09/14 22:10:22:410',29,0.053125,0.10625,0,?,?,?,?,?
1169,'2017/09/14 22:10:22:421',29,0.053125,0.10625,0,?,?,?,?,?
1170,'2017/09/14 22:10:22:460',29,0.053125,0.10625,0,?,?,?,?,?
1171,'2017/09/14 22:10:22:471',29,0.010937,0.021875,0,?,?,?,?,?
1172,'2017/09/14 22:10:22:510',29,0.010937,0.021875,0,?,?,?,?,?
1173,'2017/09/14 22:10:22:510',29,0.010937,0.021875,0,?,?,?,?,?
1174,'2017/09/14 22:10:22:521',29,0.010937,0.021875,0,?,?,?,?,?
1175,'2017/09/14 22:10:22:560',29,0.039063,0.078125,0,?,?,?,?,?
1176,'2017/09/14 22:10:22:571',29,0.039063,0.078125,0,?,?,?,?,?
1177,'2017/09/14 22:10:22:610',29,0.039063,0.078125,0,?,?,?,?,?
1178,'2017/09/14 22:10:22:610',29,0.039063,0.078125,0,?,?,?,?,?
1179,'2017/09/14 22:10:22:660',29,0.035937,0.06875,0.003125,?,?,?,?,?
1180,'2017/09/14 22:10:22:660',29,0.035937,0.06875,0.003125,?,?,?,?,?
1181,'2017/09/14 22:10:22:671',29,0.035937,0.06875,0.003125,?,?,?,?,?
1182,'2017/09/14 22:10:22:710',29,0.035937,0.06875,0.003125,?,?,?,?,?
1183,'2017/09/14 22:10:22:721',29,0.009375,0.01875,0,?,?,?,?,?
1184,'2017/09/14 22:10:22:760',29,0.009375,0.01875,0,?,?,?,?,?
1185,'2017/09/14 22:10:22:760',29,0.009375,0.01875,0,?,?,?,?,?
1186,'2017/09/14 22:10:22:772',29,0.009375,0.01875,0,?,?,?,?,?
1187,'2017/09/14 22:10:22:810',29,0.05625,0.1125,0,?,?,?,?,?
1188,'2017/09/14 22:10:22:822',29,0.05625,0.1125,0,?,?,?,?,?
1189,'2017/09/14 22:10:22:860',29,0.05625,0.1125,0,?,?,?,?,?
1190,'2017/09/14 22:10:22:860',29,0.05625,0.1125,0,?,?,?,?,?
1191,'2017/09/14 22:10:22:910',29,0.039063,0.075,0.003125,?,?,?,?,?
1192,'2017/09/14 22:10:22:910',29,0.039063,0.075,0.003125,?,?,?,?,?
1193,'2017/09/14 22:10:22:921',29,0.039063,0.075,0.003125,?,?,?,?,?
1194,'2017/09/14 22:10:22:960',29,0.039063,0.075,0.003125,?,?,?,?,?
1195,'2017/09/14 22:10:22:971',29,0.025,0.05,0,?,?,?,?,?
1196,'2017/09/14 22:10:31:560',30,0.020312,0,0.040625,?,?,?,?,?
1197,'2017/09/14 22:10:31:572',30,0.020312,0,0.040625,?,?,?,?,?
1198,'2017/09/14 22:10:31:610',30,0.020312,0,0.040625,?,?,?,?,?
1199,'2017/09/14 22:10:31:610',30,0.020312,0,0.040625,?,?,?,?,?
1200,'2017/09/14 22:10:31:660',30,0.028125,0,0.05625,?,?,?,?,?
